,date,d2m,t2m,mer,mtdwswrf,mtpr,stl1,swvl1
0,1959-01-01,281.45508,298.13843,-2.018202e-05,482.14645,2.157314e-05,302.4911,0.11529367
1,1959-02-01,284.84808,295.80466,-3.19626e-05,461.00253,3.9699953e-05,298.58606,0.18563259
2,1959-03-01,281.9876,298.02734,-1.3774854e-05,418.50723,5.6381227e-06,301.81314,0.08011679
3,1959-04-01,280.69412,296.20322,-1.1176498e-05,360.30734,6.6655653e-06,299.37244,0.08349546
4,1959-05-01,270.87195,291.71356,-4.2632214e-06,306.72726,5.8074328e-08,293.9816,0.068338655
5,1959-06-01,273.37723,290.04947,-2.5152094e-06,279.21,6.6348678e-09,291.7488,0.06333085
6,1959-07-01,271.94757,289.41428,-2.603422e-06,289.64795,1.2440603e-08,291.032,0.062002953
7,1959-08-01,269.99808,291.09946,-2.7667752e-06,333.09552,2.819144e-09,293.12137,0.05866918
8,1959-09-01,269.8442,294.97693,-3.0640306e-06,389.8416,2.1245829e-07,297.72006,0.056771103
9,1959-10-01,272.09528,297.4767,-3.8598414e-06,440.35983,2.0695065e-06,301.46545,0.061737787
10,1959-11-01,280.60043,297.8514,-1.44656515e-05,472.5478,1.9133853e-05,302.13815,0.09680999
11,1959-12-01,280.5375,298.4698,-1.298286e-05,485.4324,1.0239068e-05,303.35843,0.087924585
12,1960-01-01,284.0896,297.83646,-2.1481299e-05,482.20404,2.9347662e-05,301.54288,0.12024158
13,1960-02-01,288.78177,295.04907,-3.9247287e-05,460.6294,6.451612e-05,297.4131,0.22759794
14,1960-03-01,283.79602,296.68738,-2.1136015e-05,417.1505,7.5101975e-06,299.8535,0.097582094
15,1960-04-01,280.4815,295.38577,-1.176571e-05,358.79874,3.4804573e-06,298.41156,0.082066186
16,1960-05-01,275.1866,290.65228,-1.0430495e-05,305.6281,1.8641219e-06,292.51486,0.08697412
17,1960-06-01,274.31995,288.37582,-4.4281655e-06,278.97433,3.9968673e-09,290.0019,0.06476939
18,1960-07-01,270.51126,287.16864,-2.8221402e-06,290.35052,-7.275958e-12,288.60916,0.05502645
19,1960-08-01,273.02563,292.83322,-3.4523298e-06,334.3995,4.7003844e-08,294.57224,0.04653226
20,1960-09-01,274.32333,296.4155,-5.799482e-06,391.21317,1.5782922e-07,299.30493,0.044245593
21,1960-10-01,275.96378,298.52188,-8.502794e-06,441.3699,3.289027e-06,302.19687,0.056398436
22,1960-11-01,283.54437,297.79065,-1.9949068e-05,473.0451,2.5390631e-05,301.51776,0.11875683
23,1960-12-01,278.50934,299.3027,-9.760614e-06,485.50745,7.932306e-06,304.37253,0.07309081
